nodes,iter,rs,init,fini,open,close,write,read,interface,workload,storage,access_pattern,file_sharing,process_grouping,solution
1,1024,1048576,0.000000,0.000000,0.004837,0.973039,0.270431,0.000000,POSIX,wo,1,0,0,0,tailorfs
1,1024,1048576,0.000000,0.000000,3.056769,0.041133,0.000000,0.127915,POSIX,ro,1,0,0,0,tailorfs
1,1024,1048576,0.000000,0.000000,3.149002,1.967417,0.278873,0.149655,POSIX,raw,1,0,0,0,tailorfs
1,1024,1048576,0.000000,0.000000,0.493340,0.519856,0.137713,0.121388,POSIX,raw,1,0,0,1,tailorfs
1,1024,1048576,0.000000,0.000000,0.023276,0.019079,0.414785,0.581516,POSIX,raw,1,0,0,2,tailorfs
1,1024,1048576,0.000000,0.000000,0.008555,0.000299,1.125497,0.000000,POSIX,up,1,0,0,0,tailorfs
1,1024,1048576,0.000000,0.000000,2.966544,1.636769,0.554098,0.172643,POSIX,worm,1,0,0,0,tailorfs
1,1024,1048576,0.000000,0.000000,0.471022,0.520004,0.246698,0.123088,POSIX,worm,1,0,0,1,tailorfs
1,1024,1048576,0.000000,0.000000,0.021552,0.017084,0.447004,0.376477,POSIX,worm,1,0,0,2,tailorfs
2,1024,1048576,0.000000,0.000000,1.304362,1.141965,0.210253,0.000000,POSIX,wo,1,0,0,0,tailorfs
2,1024,1048576,0.000000,0.000000,2.766848,0.032762,0.000000,0.123854,POSIX,ro,1,0,0,0,tailorfs
2,1024,1048576,0.000000,0.000000,4.543335,1.846279,0.245071,0.149894,POSIX,raw,1,0,0,0,tailorfs
2,1024,1048576,0.000000,0.000000,1.470187,0.862545,0.285323,0.153553,POSIX,raw,1,0,0,1,tailorfs
2,1024,1048576,0.000000,0.000000,0.592980,0.008063,0.265648,0.300631,POSIX,raw,1,0,0,2,tailorfs
2,1024,1048576,0.000000,0.000000,1.270576,0.000215,0.865403,0.000000,POSIX,up,1,0,0,0,tailorfs
2,1024,1048576,0.000000,0.000000,4.173671,1.575508,0.523470,0.154941,POSIX,worm,1,0,0,0,tailorfs
2,1024,1048576,0.000000,0.000000,1.470868,0.760241,0.523390,0.141320,POSIX,worm,1,0,0,1,tailorfs
2,1024,1048576,0.000000,0.000000,0.602470,0.009393,0.278368,0.238346,POSIX,worm,1,0,0,2,tailorfs
4,1024,1048576,0.000000,0.000000,1.211791,1.054335,0.270069,0.000000,POSIX,wo,1,0,0,0,tailorfs
4,1024,1048576,0.000000,0.000000,2.756220,0.032383,0.000000,0.121831,POSIX,ro,1,0,0,0,tailorfs
4,1024,1048576,0.000000,0.000000,4.146054,2.082595,0.261208,0.145891,POSIX,raw,1,0,0,0,tailorfs
4,1024,1048576,0.000000,0.000000,2.052504,0.891319,0.271421,0.160795,POSIX,raw,1,0,0,1,tailorfs
4,1024,1048576,0.000000,0.000000,0.593740,0.014363,0.407569,0.419739,POSIX,raw,1,0,0,2,tailorfs
4,1024,1048576,0.000000,0.000000,1.225493,0.000322,1.070523,0.000000,POSIX,up,1,0,0,0,tailorfs
4,1024,1048576,0.000000,0.000000,4.155869,1.676638,0.539802,0.148049,POSIX,worm,1,0,0,0,tailorfs
4,1024,1048576,0.000000,0.000000,2.022545,0.733329,0.511238,0.151758,POSIX,worm,1,0,0,1,tailorfs
4,1024,1048576,0.000000,0.000000,0.621438,0.013119,0.381006,0.417671,POSIX,worm,1,0,0,2,tailorfs
8,1024,1048576,0.000000,0.000000,1.579586,1.176780,0.275724,0.000000,POSIX,wo,1,0,0,0,tailorfs
8,1024,1048576,0.000000,0.000000,2.740697,0.031702,0.000000,0.121458,POSIX,ro,1,0,0,0,tailorfs
8,1024,1048576,0.000000,0.000000,4.250210,2.241827,0.238389,0.153905,POSIX,raw,1,0,0,0,tailorfs
8,1024,1048576,0.000000,0.000000,2.067735,0.859883,0.221302,0.165419,POSIX,raw,1,0,0,1,tailorfs
8,1024,1048576,0.000000,0.000000,0.632173,0.010383,0.376214,0.309077,POSIX,raw,1,0,0,2,tailorfs
8,1024,1048576,0.000000,0.000000,1.267540,0.000333,1.231075,0.000000,POSIX,up,1,0,0,0,tailorfs
8,1024,1048576,0.000000,0.000000,4.156817,1.993346,0.537095,0.149069,POSIX,worm,1,0,0,0,tailorfs
8,1024,1048576,0.000000,0.000000,2.071606,0.740517,0.523483,0.172620,POSIX,worm,1,0,0,1,tailorfs
8,1024,1048576,0.000000,0.000000,0.607060,0.006245,0.498142,0.489803,POSIX,worm,1,0,0,2,tailorfs
16,1024,1048576,0.000000,0.000000,1.466837,1.897998,0.193842,0.000000,POSIX,wo,1,0,0,0,tailorfs
16,1024,1048576,0.000000,0.000000,2.784542,0.032602,0.000000,0.120252,POSIX,ro,1,0,0,0,tailorfs
16,1024,1048576,0.000000,0.000000,4.266112,3.090686,0.279197,0.150239,POSIX,raw,1,0,0,0,tailorfs
16,1024,1048576,0.000000,0.000000,2.105711,0.879073,0.242535,0.145070,POSIX,raw,1,0,0,1,tailorfs
16,1024,1048576,0.000000,0.000000,0.699128,0.001880,0.510542,0.310688,POSIX,raw,1,0,0,2,tailorfs
16,1024,1048576,0.000000,0.000000,1.696017,0.000215,1.298494,0.000000,POSIX,up,1,0,0,0,tailorfs
16,1024,1048576,0.000000,0.000000,4.283023,2.713730,0.501335,0.145162,POSIX,worm,1,0,0,0,tailorfs
16,1024,1048576,0.000000,0.000000,2.088549,0.743304,0.489840,0.143518,POSIX,worm,1,0,0,1,tailorfs
16,1024,1048576,0.000000,0.000000,0.632662,0.003113,0.665403,0.581479,POSIX,worm,1,0,0,2,tailorfs
32,1024,1048576,0.000000,0.000000,1.316349,3.040702,0.298030,0.000000,POSIX,wo,1,0,0,0,tailorfs
32,1024,1048576,0.000000,0.000000,2.483289,0.013814,0.000000,0.115008,POSIX,ro,1,0,0,0,tailorfs
32,1024,1048576,0.000000,0.000000,4.466713,5.321748,0.262086,0.146550,POSIX,raw,1,0,0,0,tailorfs
32,1024,1048576,0.000000,0.000000,2.396066,1.327264,0.239892,0.133476,POSIX,raw,1,0,0,1,tailorfs
32,1024,1048576,0.000000,0.000000,0.982003,0.000507,1.134289,0.290549,POSIX,raw,1,0,0,2,tailorfs
32,1024,1048576,0.000000,0.000000,1.861848,0.000199,2.363894,0.000000,POSIX,up,1,0,0,0,tailorfs
32,1024,1048576,0.000000,0.000000,4.493274,4.450498,0.458364,0.144029,POSIX,worm,1,0,0,0,tailorfs
32,1024,1048576,0.000000,0.000000,2.071167,1.062036,0.513873,0.135311,POSIX,worm,1,0,0,1,tailorfs
32,1024,1048576,0.000000,0.000000,0.910286,0.001409,0.994628,0.547452,POSIX,worm,1,0,0,2,tailorfs
64,g,1024,1048576,0.000000,0.000000,5.305045,10.351141,0.168508,0.000000,POSIX,wo,1,0,0,0,tailorfs
64,g,1024,1048576,0.000000,0.000000,2.457354,0.010399,0.000000,0.102643,POSIX,ro,1,0,0,0,tailorfs
64,g,1024,1048576,0.000000,0.000000,7.013963,15.161146,0.192656,0.117321,POSIX,raw,1,0,0,0,tailorfs
64,g,1024,1048576,0.000000,0.000000,2.184277,2.762951,0.204248,0.118204,POSIX,raw,1,0,0,1,tailorfs
64,g,1024,1048576,0.000000,0.000000,1.076837,0.000974,1.251227,0.241233,POSIX,raw,1,0,0,2,tailorfs
64,g,1024,1048576,0.000000,0.000000,4.754431,0.000175,3.352068,0.000000,POSIX,up,1,0,0,0,tailorfs
64,g,1024,1048576,0.000000,0.000000,4.457745,9.179490,0.440881,0.104289,POSIX,worm,1,0,0,0,tailorfs
64,g,1024,1048576,0.000000,0.000000,1.921402,2.665841,0.473177,0.113636,POSIX,worm,1,0,0,1,tailorfs
64,g,1024,1048576,0.000000,0.000000,0.718090,0.001101,1.532480,0.242685,POSIX,worm,1,0,0,2,tailorfs
128,g,1024,1048576,0.000000,0.000000,18.756119,31.273109,0.164918,0.000000,POSIX,wo,1,0,0,0,tailorfs
128,g,1024,1048576,0.000000,0.000000,52.941095,0.008809,0.000000,0.078403,POSIX,ro,1,0,0,0,tailorfs
128,g,1024,1048576,0.000000,0.000000,9.893775,19.504107,0.160499,0.083496,POSIX,raw,1,0,0,0,tailorfs
128,g,1024,1048576,0.000000,0.000000,3.606611,4.866830,0.178351,0.097114,POSIX,raw,1,0,0,1,tailorfs
128,g,1024,1048576,0.000000,0.000000,1.939797,0.000420,1.813132,0.280688,POSIX,raw,1,0,0,2,tailorfs
128,g,1024,1048576,0.000000,0.000000,6.222942,0.000158,7.078999,0.000000,POSIX,up,1,0,0,0,tailorfs
128,g,1024,1048576,0.000000,0.000000,10.229036,18.898976,0.289880,0.083263,POSIX,worm,1,0,0,0,tailorfs
128,g,1024,1048576,0.000000,0.000000,2.683114,5.100519,0.392811,0.094607,POSIX,worm,1,0,0,1,tailorfs
128,g,1024,1048576,0.000000,0.000000,2.625981,0.000215,0.746838,0.256256,POSIX,worm,1,0,0,2,tailorfs
1,1024,1048576,0.000000,0.000000,0.010946,0.000486,1.104770,0.000000,POSIX,wo,1,0,0,0,baseline
1,1024,1048576,0.000000,0.000000,0.000042,0.000037,0.000000,1.119638,POSIX,ro,1,0,0,0,baseline
1,1024,1048576,0.000000,0.000000,0.006273,0.000300,1.137352,1.209199,POSIX,raw,1,0,0,0,baseline
1,1024,1048576,0.000000,0.000000,0.001225,0.000146,0.380316,0.612895,POSIX,raw,1,0,0,1,baseline
1,1024,1048576,0.000000,0.000000,0.001344,0.000130,0.456683,0.538754,POSIX,raw,1,0,0,2,baseline
1,1024,1048576,0.000000,0.000000,0.007869,0.000785,1.139014,0.000000,POSIX,up,1,0,0,0,baseline
1,1024,1048576,0.000000,0.000000,0.004741,0.000370,0.967599,1.004649,POSIX,worm,1,0,0,0,baseline
1,1024,1048576,0.000000,0.000000,0.001316,0.000152,0.456246,0.507271,POSIX,worm,1,0,0,1,baseline
1,1024,1048576,0.000000,0.000000,0.001081,0.000147,0.487936,0.539680,POSIX,worm,1,0,0,2,baseline
2,1024,1048576,0.000000,0.000000,1.252665,0.000276,0.871665,0.000000,POSIX,wo,1,0,0,0,baseline
2,1024,1048576,0.000000,0.000000,0.000061,0.000027,0.000000,0.861215,POSIX,ro,1,0,0,0,baseline
2,1024,1048576,0.000000,0.000000,1.279050,0.000294,0.844660,0.957576,POSIX,raw,1,0,0,0,baseline
2,1024,1048576,0.000000,0.000000,0.035582,0.000192,1.186131,1.359887,POSIX,raw,1,0,0,1,baseline
2,1024,1048576,0.000000,0.000000,0.580610,0.000140,0.303426,0.395176,POSIX,raw,1,0,0,2,baseline
2,1024,1048576,0.000000,0.000000,1.251441,0.000212,0.857211,0.000000,POSIX,up,1,0,0,0,baseline
2,1024,1048576,0.000000,0.000000,1.254927,0.000267,0.788437,0.957338,POSIX,worm,1,0,0,0,baseline
2,1024,1048576,0.000000,0.000000,0.015348,0.000123,0.963290,1.383287,POSIX,worm,1,0,0,1,baseline
2,1024,1048576,0.000000,0.000000,0.586198,0.000127,0.341851,0.372370,POSIX,worm,1,0,0,2,baseline
4,1024,1048576,0.000000,0.000000,1.286245,0.000315,0.914686,0.000000,POSIX,wo,1,0,0,0,baseline
4,1024,1048576,0.000000,0.000000,0.000054,0.000032,0.000000,0.862179,POSIX,ro,1,0,0,0,baseline
4,1024,1048576,0.000000,0.000000,1.465175,0.000345,0.844584,0.991545,POSIX,raw,1,0,0,0,baseline
4,1024,1048576,0.000000,0.000000,0.707639,0.000123,0.448468,1.133494,POSIX,raw,1,0,0,1,baseline
4,1024,1048576,0.000000,0.000000,0.614037,0.000116,0.336504,0.226880,POSIX,raw,1,0,0,2,baseline
4,1024,1048576,0.000000,0.000000,1.365070,0.000300,0.845665,0.000000,POSIX,up,1,0,0,0,baseline
4,1024,1048576,0.000000,0.000000,1.253804,0.000288,0.918239,0.961842,POSIX,worm,1,0,0,0,baseline
4,1024,1048576,0.000000,0.000000,0.543839,0.000149,0.715660,1.226776,POSIX,worm,1,0,0,1,baseline
4,1024,1048576,0.000000,0.000000,0.606657,0.000198,0.372916,0.413889,POSIX,worm,1,0,0,2,baseline
8,1024,1048576,0.000000,0.000000,1.264092,0.000328,1.201441,0.000000,POSIX,wo,1,0,0,0,baseline
8,1024,1048576,0.000000,0.000000,0.000049,0.000031,0.000000,0.922148,POSIX,ro,1,0,0,0,baseline
8,1024,1048576,0.000000,0.000000,1.268241,0.000445,1.190621,1.316814,POSIX,raw,1,0,0,0,baseline
8,1024,1048576,0.000000,0.000000,0.690823,0.000145,0.889133,1.290166,POSIX,raw,1,0,0,1,baseline
8,1024,1048576,0.000000,0.000000,0.625221,0.000122,0.432754,0.309558,POSIX,raw,1,0,0,2,baseline
8,1024,1048576,0.000000,0.000000,1.281586,0.000302,1.196242,0.000000,POSIX,up,1,0,0,0,baseline
8,1024,1048576,0.000000,0.000000,1.277857,0.000300,1.165144,1.061451,POSIX,worm,1,0,0,0,baseline
8,1024,1048576,0.000000,0.000000,0.646404,0.000140,0.901040,1.299792,POSIX,worm,1,0,0,1,baseline
8,1024,1048576,0.000000,0.000000,0.622848,0.000130,0.529202,0.414159,POSIX,worm,1,0,0,2,baseline
16,1024,1048576,0.000000,0.000000,1.519785,0.000264,1.392399,0.000000,POSIX,wo,1,0,0,0,baseline
16,1024,1048576,0.000000,0.000000,0.000048,0.000035,0.000000,0.946990,POSIX,ro,1,0,0,0,baseline
16,1024,1048576,0.000000,0.000000,1.493590,0.000280,1.418931,1.009048,POSIX,raw,1,0,0,0,baseline
16,1024,1048576,0.000000,0.000000,0.964288,0.000143,0.580252,1.025619,POSIX,raw,1,0,0,1,baseline
16,1024,1048576,0.000000,0.000000,0.636103,0.000108,0.623909,0.314305,POSIX,raw,1,0,0,2,baseline
16,1024,1048576,0.000000,0.000000,1.690337,0.000229,1.444396,0.000000,POSIX,up,1,0,0,0,baseline
16,1024,1048576,0.000000,0.000000,1.325165,0.000245,1.699765,1.102750,POSIX,worm,1,0,0,0,baseline
16,1024,1048576,0.000000,0.000000,0.707366,0.000150,1.043224,1.054206,POSIX,worm,1,0,0,1,baseline
16,1024,1048576,0.000000,0.000000,0.630302,0.000125,0.705577,0.574088,POSIX,worm,1,0,0,2,baseline
32,1024,1048576,0.000000,0.000000,2.308299,0.000192,2.161256,0.000000,POSIX,wo,1,0,0,0,baseline
32,1024,1048576,0.000000,0.000000,0.000050,0.000035,0.000000,1.317474,POSIX,ro,1,0,0,0,baseline
32,1024,1048576,0.000000,0.000000,2.113516,0.000232,2.034980,1.430588,POSIX,raw,1,0,0,0,baseline
32,1024,1048576,0.000000,0.000000,0.928807,0.000131,1.249405,0.955890,POSIX,raw,1,0,0,1,baseline
32,1024,1048576,0.000000,0.000000,0.676125,0.000097,1.217017,0.282597,POSIX,raw,1,0,0,2,baseline
32,1024,1048576,0.000000,0.000000,1.925815,0.000206,2.216990,0.000000,POSIX,up,1,0,0,0,baseline
32,1024,1048576,0.000000,0.000000,1.524568,0.000270,3.087601,1.522623,POSIX,worm,1,0,0,0,baseline
32,1024,1048576,0.000000,0.000000,1.061274,0.000135,1.614041,1.015641,POSIX,worm,1,0,0,1,baseline
32,1024,1048576,0.000000,0.000000,0.774259,0.000118,1.235370,0.278372,POSIX,worm,1,0,0,2,baseline
64,g,1024,1048576,0.000000,0.000000,3.783141,0.000157,2.630577,0.000000,POSIX,wo,1,0,0,0,baseline
64,g,1024,1048576,0.000000,0.000000,0.000050,0.000032,0.000000,2.454091,POSIX,ro,1,0,0,0,baseline
64,g,1024,1048576,0.000000,0.000000,4.573573,0.000194,3.185616,1.622862,POSIX,raw,1,0,0,0,baseline
64,g,1024,1048576,0.000000,0.000000,1.280878,0.000110,1.786300,1.291628,POSIX,raw,1,0,0,1,baseline
64,g,1024,1048576,0.000000,0.000000,1.382402,0.000095,1.303183,0.244671,POSIX,raw,1,0,0,2,baseline
64,g,1024,1048576,0.000000,0.000000,3.346971,0.000181,3.043361,0.000000,POSIX,up,1,0,0,0,baseline
64,g,1024,1048576,0.000000,0.000000,3.003655,0.000208,5.390635,1.350696,POSIX,worm,1,0,0,0,baseline
64,g,1024,1048576,0.000000,0.000000,0.800641,0.000138,3.775116,2.744160,POSIX,worm,1,0,0,1,baseline
64,g,1024,1048576,0.000000,0.000000,0.691503,0.000101,1.495902,9.370732,POSIX,worm,1,0,0,2,baseline
128,g,1024,1048576,0.000000,0.000000,21.904859,0.000165,7.680891,0.000000,POSIX,wo,1,0,0,0,baseline
128,g,1024,1048576,0.000000,0.000000,0.000069,0.000029,0.000000,14.238271,POSIX,ro,1,0,0,0,baseline
128,g,1024,1048576,0.000000,0.000000,7.880082,0.000187,6.433652,4.124143,POSIX,raw,1,0,0,0,baseline
128,g,1024,1048576,0.000000,0.000000,2.178301,0.000145,2.877544,2.917580,POSIX,raw,1,0,0,1,baseline
128,g,1024,1048576,0.000000,0.000000,1.724992,0.000093,3.258220,0.373017,POSIX,raw,1,0,0,2,baseline
128,g,1024,1048576,0.000000,0.000000,27.335298,0.000167,8.589640,0.000000,POSIX,up,1,0,0,0,baseline
128,g,1024,1048576,0.000000,0.000000,28.796259,0.000175,10.126372,1.847274,POSIX,worm,1,0,0,0,baseline
128,g,1024,1048576,0.000000,0.000000,0.773800,0.000101,5.473060,5.014454,POSIX,worm,1,0,0,1,baseline
128,g,1024,1048576,0.000000,0.000000,0.698234,0.000108,3.728740,0.495578,POSIX,worm,1,0,0,2,baseline
